image,ground_truth,prediction,CER_score
test001_1.jpg,B9140BCD,"BS5140BCD
11-28",1.0
test001_2.jpg,B2407UZO,BUZO2407,0.75
test001_3.jpg,B2842PKM,B284PKM,0.125
test002_1.jpg,BG1352AE,BCG1352AE,0.125
test003_1.jpg,B2634UZF,B'2634UZF,0.125
test003_2.jpg,B1995JVK,"B1995JVK
C1-28",0.75
test004_1.jpg,B9062VEH,30602,0.75
test005_1.jpg,DD8798KM,DHDDMKM,0.625
test006_1.jpg,T1329KC,T-1329KC,0.1429
test007_1.jpg,AD8865EE,AD8865EE,0.0
test008_1.jpg,DK1157AAB,DKAAB1157,0.6667
test008_2.jpg,AA1997FE,AA-1997FE,0.125
test009_1.jpg,H8518NA,H-08518-NA,0.4286
test009_2.jpg,K1649GB,1649GB,0.1429
test010_1.jpg,B9416PCN,B94116CN,0.25
test010_2.jpg,H1147UY,H1147UY01-28,0.7143
test011_1.jpg,H1691IL,H1691IL,0.0
test011_2.jpg,B9374RI,B9371L01-24,1.0
test011_3.jpg,D1204AIG,1204AIG,0.125
test012_1.jpg,E1887BA,E1887BA,0.0
test013_1.jpg,B1439UZP,BUZP143906-23,1.0
test013_2.jpg,B1128WOS,1.B1128WOS0-1-27,1.0
test014_1.jpg,B1388DFX,1388DFX,0.125
test015_1.jpg,AD1798BT,AD1798.BT,0.125
test016_1.jpg,E1517DQ,E1517D0,0.1429
test017_1.jpg,AD8982FS,ADFS,0.5
test018_1.jpg,L7603UA,L7603-UA,0.1429
test019_1.jpg,AD7HS,AD7HS,0.0
test019_2.jpg,B1959WYK,B1959WYK,0.0
test020_1.jpg,AG8634EK,AG-8694EK,0.25
test020_2.jpg,AD1329PY,ADL132802-28,0.875
test021_1.jpg,BA1709DW,BA1709DW02-27,0.625
test021_2.jpg,W1236VZ,WVC1236,0.5714
test022_1.jpg,W1825OZ,W1825OB-27,0.5714
test022_2.jpg,L1202UE,L-1202E,0.2857
test022_3.jpg,L3823IB,3823L10,0.5714
test023_1.jpg,B1730JLO,1730JLO,0.125
test024_1.jpg,B2964TRU,B2964TRU,0.0
test025_1.jpg,S5585LP,5685LP,0.2857
test025_2.jpg,L2858RR,L285BRR,0.1429
test025_3.jpg,W1185ZO,W185027,0.5714
test025_4.jpg,9840VU,98420,0.5
test026_1.jpg,N9652DF,NN9652DE,0.2857
test026_2.jpg,L3836ZX,38836XY,0.5714
test027_1.jpg,N1905IG,N1905IG,0.0
test027_2.jpg,B1109CLR,B1109CLR,0.0
test027_3.jpg,L1840AA,1840A,0.2857
test028_1.jpg,L1438EO,1438E0,0.2857
test028_2.jpg,L1436AAA,1436AA,0.25
test029_1.jpg,W1518WF,WW1516,0.5714
test029_2.jpg,G1986N,GC1986N,0.1667
test029_3.jpg,L1588OO,15808,0.5714
test029_4.jpg,L1436AAA,1436AAA,0.125
test030_1.jpg,S8062NF,8062NF,0.1429
test030_2.jpg,G1894TE,GTE189403-26,1.0
test031_1.jpg,L1560JQ,1560QO,0.4286
test031_2.jpg,L1568QO,1566800008,1.0
test031_3.jpg,L1932AAZ,LA1932AA,0.25
test032_1.jpg,B2754SKY,B-2734SKY,0.25
test032_2.jpg,W1192K,W1792K,0.1667
test033_1.jpg,L4561VK,4561VKAW,0.4286
test033_2.jpg,L2693GA,L2693CAUBRESA,1.0
test033_3.jpg,W9847G,0847G,0.3333
test033_4.jpg,L1762ABJ,1762ABJ,0.125
test034_1.jpg,L1811SU,L1811SU,0.0
test034_2.jpg,W1167VO,WBV167,0.5714
test034_3.jpg,S6131OCF,S6131ACE,0.25
test034_4.jpg,L2570AAD,L2570AAD1-14-26,0.875
test035_1.jpg,L9643NN,LNN-9634,0.8571
test035_2.jpg,L5247GI,5267CL1,0.7143
test035_3.jpg,L2498AAM,LAAM2698,0.875
test035_4.jpg,W1696YO,W1699YO,0.1429
test036_1.jpg,B1231JJA,BJA021234,0.875
test036_2.jpg,B1618UAE,B168UAE0826,0.625
test037_1.jpg,L1775VO,1775VO,0.1429
test037_2.jpg,L300RX,300RX,0.1667
test037_3.jpg,L1879VG,L1879VC,0.1429
test038_1.jpg,D1523YCN,DYCNW1523YCN,0.5
test038_2.jpg,L1877ACU,L1877ACU,0.0
test039_1.jpg,L1069VK,1069YK,0.2857
test040_1.jpg,S1595LL,S1595LL07-26,0.7143
test041_1.jpg,B1231JJA,BJA026,0.875
test042_1.jpg,AD1174SF,AD174SF,0.125
test043_1.jpg,W1898YW,1898YW,0.1429
test043_2.jpg,W1470PG,WW1470PG,0.1429
test044_1.jpg,L1930KF,1930KF,0.1429
test044_2.jpg,N1004HE,NHE,0.5714
test045_1.jpg,S1347LJ,SLJ1347,0.5714
test046_1.jpg,L1470ABK,L1470ABK,0.0
test046_2.jpg,L1265MX,"1265MX
09-24",1.0
test047_1.jpg,N1524SY,NNSY0826,1.0
test047_2.jpg,L1678ACE,LACE1678OB-27,1.0
test048_1.jpg,L9316BC,9316BC,0.1429
test048_2.jpg,W1838AY,1838,0.4286
test049_1.jpg,N1376DE,N1376DE,0.0
test049_2.jpg,N79AP,N79AP,0.0
test050_1.jpg,L1265OF,L1265OF,0.0
test050_2.jpg,N1095G,10985G,0.3333
test051_1.jpg,N1718HC,NN1718HC,0.1429
test052_1.jpg,N6497KS,N6197KSOR03,0.7143
test052_2.jpg,N5235ABX,N5235ABX,0.0
test052_3.jpg,N4980KJ,N4980KJ,0.0
test053_1.jpg,N1365AAO,NAOA1365AAA,0.5
test054_1.jpg,N1077AAK,NNAAKCT-36,1.125
test054_2.jpg,N1084AAO,1084AO,0.25
test055_1.jpg,N1610KS,N1610KS,0.0
test056_1.jpg,N924CIA,N924CIA,0.0
test056_2.jpg,N1623HB,1623HB,0.1429
test056_3.jpg,L1430HF,1430LHF,0.2857
test057_1.jpg,N1342T,NNT1342,0.5
test057_2.jpg,N4145AB,NAB4175AB06-02,1.1429
test057_3.jpg,N1396AAH,NAHN1396AAH,0.375
test058_1.jpg,N3153ACB,"N-31563ACCB
10-26",1.125
test058_2.jpg,N5829KJ,56029KJ,0.4286
test058_3.jpg,N1780JL,1780JL,0.1429
test059_1.jpg,W8774PA,WW8774PA04-26,0.8571
